Module: mul_float_4in_regout_regin

--------------------------------------------------Timing Report--------------------------------------------------

DEW         DFW         Slack(ns)   Requirement(ns)
================================================
3           4           2.133       5.0         
3           5           1.665       5.0         
3           6           1.488       5.0         
3           7           1.393       5.0         
3           8           0.857       5.0         
3           9           0.824       5.0         
3           10          0.768       5.0         
3           11          0.712       5.0         
3           12          0.425       5.0         
3           13          -0.281      5.0         
3           14          -0.304      5.0         
3           15          -0.348      5.0         
3           16          -0.35       5.0         
3           17          -0.479      5.0         
3           18          -0.374      5.0         
3           19          -1.498      5.0         
3           20          -1.512      5.0         
4           4           1.957       5.0         
4           5           1.603       5.0         
4           6           1.305       5.0         
4           7           1.326       5.0         
4           8           0.857       5.0         
4           9           0.824       5.0         
4           10          0.579       5.0         
4           11          0.499       5.0         
4           12          0.404       5.0         
4           13          -0.271      5.0         
4           14          -0.311      5.0         
4           15          -0.349      5.0         
4           16          -0.35       5.0         
4           17          -0.479      5.0         
4           18          -0.388      5.0         
4           19          -1.499      5.0         
4           20          -1.512      5.0         
5           4           1.897       5.0         
5           5           1.419       5.0         
5           6           1.265       5.0         
5           7           1.29        5.0         
5           8           0.669       5.0         
5           9           0.605       5.0         
5           10          0.584       5.0         
5           11          0.505       5.0         
5           12          0.414       5.0         
5           13          -0.271      5.0         
5           14          -0.317      5.0         
5           15          -0.362      5.0         
5           16          -0.362      5.0         
5           17          -0.491      5.0         
5           18          -0.397      5.0         
5           19          -1.345      5.0         
5           20          -1.512      5.0         
6           4           1.849       5.0         
6           5           1.412       5.0         
6           6           1.261       5.0         
6           7           1.019       5.0         
6           8           0.442       5.0         
6           9           0.378       5.0         
6           10          0.333       5.0         
6           11          0.5         5.0         
6           12          0.161       5.0         
6           13          -0.268      5.0         
6           14          -0.305      5.0         
6           15          -0.349      5.0         
6           16          -0.362      5.0         
6           17          -0.492      5.0         
6           18          -0.387      5.0         
6           19          -1.506      5.0         
6           20          -1.519      5.0         
7           4           1.958       5.0         
7           5           1.368       5.0         
7           6           1.241       5.0         
7           7           1.202       5.0         
7           8           0.392       5.0         
7           9           0.335       5.0         
7           10          0.289       5.0         
7           11          0.256       5.0         
7           12          0.442       5.0         
7           13          -0.542      5.0         
7           14          -0.61       5.0         
7           15          -0.612      5.0         
7           16          -0.388      5.0         
7           17          -0.514      5.0         
7           18          -0.41       5.0         
7           19          -1.53       5.0         
7           20          -1.544      5.0         
8           4           1.979       5.0         
8           5           1.355       5.0         
8           6           1.22        5.0         
8           7           1.169       5.0         
8           8           0.39        5.0         
8           9           0.387       5.0         
