Module: two_float_mul_regout_regin

--------------------------------------------------Timing Report--------------------------------------------------

DEW         DFW         Slack(ns)   Requirement(ns)
================================================
3           4           2.785       5.0         
3           5           2.105       5.0         
3           6           2.542       5.0         
3           7           2.101       5.0         
3           8           2.497       5.0         
3           9           2.094       5.0         
3           10          1.847       5.0         
3           11          1.92        5.0         
3           12          1.837       5.0         
3           13          1.885       5.0         
3           14          1.86        5.0         
3           15          1.625       5.0         
3           16          1.916       5.0         
3           17          1.944       5.0         
3           18          1.328       5.0         
3           19          1.343       5.0         
3           20          1.198       5.0         
4           4           2.79        5.0         
4           5           1.888       5.0         
4           6           2.537       5.0         
4           7           2.124       5.0         
4           8           2.47        5.0         
4           9           1.863       5.0         
4           10          1.865       5.0         
4           11          1.872       5.0         
4           12          1.83        5.0         
4           13          1.832       5.0         
4           14          1.821       5.0         
4           15          1.79        5.0         
4           16          1.87        5.0         
4           17          1.907       5.0         
4           18          1.36        5.0         
4           19          1.375       5.0         
4           20          1.083       5.0         
5           4           2.523       5.0         
5           5           1.755       5.0         
5           6           2.301       5.0         
5           7           1.826       5.0         
5           8           2.221       5.0         
5           9           1.863       5.0         
5           10          1.831       5.0         
5           11          1.822       5.0         
5           12          1.812       5.0         
5           13          1.799       5.0         
5           14          1.782       5.0         
5           15          1.783       5.0         
5           16          1.834       5.0         
5           17          1.939       5.0         
5           18          1.327       5.0         
5           19          1.343       5.0         
5           20          1.224       5.0         
6           4           2.303       5.0         
6           5           1.74        5.0         
6           6           2.297       5.0         
6           7           1.852       5.0         
6           8           2.218       5.0         
6           9           1.666       5.0         
6           10          1.601       5.0         
6           11          1.596       5.0         
6           12          1.593       5.0         
6           13          1.639       5.0         
6           14          1.566       5.0         
6           15          1.56        5.0         
6           16          1.842       5.0         
6           17          1.874       5.0         
6           18          1.348       5.0         
6           19          1.306       5.0         
6           20          1.194       5.0         
7           4           2.3         5.0         
7           5           1.82        5.0         
7           6           2.226       5.0         
7           7           1.603       5.0         
7           8           1.953       5.0         
7           9           1.925       5.0         
7           10          1.843       5.0         
7           11          1.841       5.0         
7           12          1.87        5.0         
7           13          1.869       5.0         
7           14          1.884       5.0         
7           15          1.85        5.0         
7           16          1.917       5.0         
7           17          1.956       5.0         
7           18          1.288       5.0         
7           19          1.311       5.0         
7           20          1.194       5.0         
8           4           2.288       5.0         
8           5           2.05        5.0         
8           6           2.27        5.0         
8           7           1.936       5.0         
8           8           1.954       5.0         
8           9           1.885       5.0         
8           10          1.831       5.0         
8           11          1.842       5.0         
8           12          1.87        5.0         
8           13          1.858       5.0         
8           14          1.862       5.0         
8           15          1.845       5.0         
8           16          1.893       5.0         
8           17          1.954       5.0         
8           18          1.283       5.0         
8           19          1.304       5.0         
8           20          1.182       5.0         
9           4           2.515       5.0         
9           5           2.071       5.0         
9           6           2.291       5.0         
9           7           1.958       5.0         
9           8           1.965       5.0         
9           9           1.875       5.0         
9           10          1.851       5.0         
9           11          1.824       5.0         
9           12          1.88        5.0         
9           13          1.867       5.0         
9           14          1.861       5.0         
9           15          1.874       5.0         
9           16          1.861       5.0         
9           17          1.909       5.0         
9           18          1.341       5.0         
9           19          1.323       5.0         
9           20          1.201       5.0         
10          4           2.498       5.0         
10          5           1.895       5.0         
10          6           2.236       5.0         
10          7           1.58        5.0         
10          8           1.937       5.0         
10          9           1.873       5.0         
10          10          1.799       5.0         
10          11          1.8         5.0         
10          12          1.854       5.0         
10          13          1.847       5.0         
10          14          1.868       5.0         
10          15          1.868       5.0         
10          16          1.887       5.0         
10          17          1.898       5.0         
10          18          1.266       5.0         
10          19          1.289       5.0         
10          20          1.166       5.0         
11          4           2.3         5.0         
11          5           2.036       5.0         
11          6           2.24        5.0         
11          7           1.583       5.0         
11          8           1.902       5.0         
11          9           1.846       5.0         
11          10          1.799       5.0         
11          11          1.779       5.0         
11          12          1.847       5.0         
11          13          1.819       5.0         
11          14          1.879       5.0         
11          15          1.83        5.0         
11          16          1.864       5.0         
11          17          1.903       5.0         
11          18          1.275       5.0         
11          19          1.295       5.0         
11          20          1.171       5.0         
12          4           2.453       5.0         
12          5           1.945       5.0         
12          6           2.224       5.0         
12          7           1.555       5.0         
12          8           1.912       5.0         
12          9           1.846       5.0         
12          10          1.786       5.0         
12          11          1.777       5.0         
12          12          1.816       5.0         
12          13          1.807       5.0         
12          14          1.856       5.0         
12          15          1.859       5.0         
12          16          1.863       5.0         
12          17          1.576       5.0         
12          18          1.247       5.0         
12          19          1.295       5.0         
12          20          1.149       5.0         
-------------------------------------------------------Timing Report End-------------------------------------------------------

------------------------------------------------------------Uti Report------------------------------------------------------------
DEW         DFW         Total LUTs  Logic LUTs  LUTRAMs     SRLs        FFs         RAMB36      RAMB18      URAM        DSP Blocks  
====================================================================================================================================
3           4           95          95          0           0           42          0           0           0           0           
3           5           120         120         0           0           48          0           0           0           0           
3           6           129         129         0           0           54          0           0           0           0           
3           7           174         174         0           0           60          0           0           0           0           
3           8           203         203         0           0           66          0           0           0           0           
3           9           70          70          0           0           72          0           0           0           2           
3           10          65          65          0           0           78          0           0           0           2           
3           11          72          72          0           0           84          0           0           0           2           
3           12          76          76          0           0           90          0           0           0           2           
3           13          84          84          0           0           96          0           0           0           2           
3           14          88          88          0           0           102         0           0           0           2           
3           15          89          89          0           0           108         0           0           0           2           
3           16          85          85          0           0           114         0           0           0           2           
3           17          91          91          0           0           120         0           0           0           2           
3           18          175         175         0           0           126         0           0           0           2           
3           19          223         223         0           0           132         0           0           0           2           
3           20          127         127         0           0           138         0           0           0           4           
4           4           110         110         0           0           48          0           0           0           0           
4           5           120         120         0           0           54          0           0           0           0           
4           6           142         142         0           0           60          0           0           0           0           
4           7           179         179         0           0           66          0           0           0           0           
4           8           217         217         0           0           72          0           0           0           0           
4           9           61          61          0           0           78          0           0           0           2           
4           10          65          65          0           0           84          0           0           0           2           
4           11          68          68          0           0           90          0           0           0           2           
4           12          81          81          0           0           96          0           0           0           2           
4           13          87          87          0           0           102         0           0           0           2           
4           14          93          93          0           0           108         0           0           0           2           
4           15          106         106         0           0           114         0           0           0           2           
4           16          89          89          0           0           120         0           0           0           2           
4           17          93          93          0           0           126         0           0           0           2           
4           18          203         203         0           0           132         0           0           0           2           
4           19          247         247         0           0           138         0           0           0           2           
4           20          117         117         0           0           144         0           0           0           4           
5           4           107         107         0           0           54          0           0           0           0           
5           5           129         129         0           0           60          0           0           0           0           
5           6           137         137         0           0           66          0           0           0           0           
5           7           181         181         0           0           72          0           0           0           0           
5           8           215         215         0           0           78          0           0           0           0           
5           9           71          71          0           0           84          0           0           0           2           
5           10          73          73          0           0           90          0           0           0           2           
5           11          79          79          0           0           96          0           0           0           2           
5           12          89          89          0           0           102         0           0           0           2           
5           13          94          94          0           0           108         0           0           0           2           
5           14          100         100         0           0           114         0           0           0           2           
5           15          111         111         0           0           120         0           0           0           2           
5           16          99          99          0           0           126         0           0           0           2           
5           17          103         103         0           0           132         0           0           0           2           
5           18          192         192         0           0           138         0           0           0           2           
5           19          237         237         0           0           144         0           0           0           2           
5           20          141         141         0           0           150         0           0           0           4           
6           4           101         101         0           0           60          0           0           0           0           
6           5           143         143         0           0           66          0           0           0           0           
6           6           155         155         0           0           72          0           0           0           0           
6           7           195         195         0           0           78          0           0           0           0           
6           8           233         233         0           0           84          0           0           0           0           
6           9           70          70          0           0           90          0           0           0           2           
6           10          81          81          0           0           96          0           0           0           2           
6           11          93          93          0           0           102         0           0           0           2           
6           12          90          90          0           0           108         0           0           0           2           
6           13          88          88          0           0           114         0           0           0           2           
6           14          99          99          0           0           120         0           0           0           2           
6           15          105         105         0           0           126         0           0           0           2           
6           16          124         124         0           0           132         0           0           0           2           
6           17          131         131         0           0           138         0           0           0           2           
6           18          219         219         0           0           144         0           0           0           2           
6           19          253         253         0           0           150         0           0           0           2           
6           20          143         143         0           0           156         0           0           0           4           
7           4           124         124         0           0           66          0           0           0           0           
7           5           159         159         0           0           72          0           0           0           0           
7           6           168         168         0           0           78          0           0           0           0           
7           7           207         207         0           0           84          0           0           0           0           
7           8           232         232         0           0           90          0           0           0           0           
7           9           97          97          0           0           96          0           0           0           2           
7           10          107         107         0           0           102         0           0           0           2           
7           11          106         106         0           0           108         0           0           0           2           
7           12          120         120         0           0           114         0           0           0           2           
7           13          124         124         0           0           120         0           0           0           2           
7           14          135         135         0           0           126         0           0           0           2           
7           15          136         136         0           0           132         0           0           0           2           
7           16          129         129         0           0           138         0           0           0           2           
7           17          136         136         0           0           144         0           0           0           2           
7           18          226         226         0           0           150         0           0           0           2           
7           19          269         269         0           0           156         0           0           0           2           
7           20          147         147         0           0           162         0           0           0           4           
8           4           131         131         0           0           72          0           0           0           0           
8           5           167         167         0           0           78          0           0           0           0           
8           6           178         178         0           0           84          0           0           0           0           
8           7           225         225         0           0           90          0           0           0           0           
8           8           244         244         0           0           96          0           0           0           0           
8           9           103         103         0           0           102         0           0           0           2           
8           10          112         112         0           0           108         0           0           0           2           
8           11          116         116         0           0           114         0           0           0           2           
8           12          117         117         0           0           120         0           0           0           2           
8           13          129         129         0           0           126         0           0           0           2           
8           14          142         142         0           0           132         0           0           0           2           
8           15          150         150         0           0           138         0           0           0           2           
8           16          114         114         0           0           144         0           0           0           2           
8           17          143         143         0           0           150         0           0           0           2           
8           18          225         225         0           0           156         0           0           0           2           
8           19          277         277         0           0           162         0           0           0           2           
8           20          153         153         0           0           168         0           0           0           4           
9           4           138         138         0           0           78          0           0           0           0           
9           5           170         170         0           0           84          0           0           0           0           
9           6           178         178         0           0           90          0           0           0           0           
9           7           223         223         0           0           96          0           0           0           0           
9           8           251         251         0           0           102         0           0           0           0           
9           9           102         102         0           0           108         0           0           0           2           
9           10          120         120         0           0           114         0           0           0           2           
9           11          120         120         0           0           120         0           0           0           2           
9           12          131         131         0           0           126         0           0           0           2           
9           13          137         137         0           0           132         0           0           0           2           
9           14          145         145         0           0           138         0           0           0           2           
9           15          152         152         0           0           144         0           0           0           2           
9           16          129         129         0           0           150         0           0           0           2           
9           17          125         125         0           0           156         0           0           0           2           
9           18          233         233         0           0           162         0           0           0           2           
9           19          270         270         0           0           168         0           0           0           2           
9           20          162         162         0           0           174         0           0           0           4           
10          4           143         143         0           0           84          0           0           0           0           
10          5           175         175         0           0           90          0           0           0           0           
10          6           189         189         0           0           96          0           0           0           0           
10          7           221         221         0           0           102         0           0           0           0           
10          8           255         255         0           0           108         0           0           0           0           
10          9           110         110         0           0           114         0           0           0           2           
10          10          120         120         0           0           120         0           0           0           2           
10          11          122         122         0           0           126         0           0           0           2           
10          12          138         138         0           0           132         0           0           0           2           
10          13          145         145         0           0           138         0           0           0           2           
10          14          150         150         0           0           144         0           0           0           2           
10          15          155         155         0           0           150         0           0           0           2           
10          16          136         136         0           0           156         0           0           0           2           
10          17          137         137         0           0           162         0           0           0           2           
10          18          228         228         0           0           168         0           0           0           2           
10          19          291         291         0           0           174         0           0           0           2           
10          20          166         166         0           0           180         0           0           0           4           
11          4           150         150         0           0           90          0           0           0           0           
11          5           185         185         0           0           96          0           0           0           0           
11          6           197         197         0           0           102         0           0           0           0           
11          7           229         229         0           0           108         0           0           0           0           
11          8           255         255         0           0           114         0           0           0           0           
11          9           113         113         0           0           120         0           0           0           2           
11          10          125         125         0           0           126         0           0           0           2           
11          11          131         131         0           0           132         0           0           0           2           
11          12          135         135         0           0           138         0           0           0           2           
11          13          148         148         0           0           144         0           0           0           2           
11          14          154         154         0           0           150         0           0           0           2           
11          15          166         166         0           0           156         0           0           0           2           
11          16          131         131         0           0           162         0           0           0           2           
11          17          136         136         0           0           168         0           0           0           2           
11          18          240         240         0           0           174         0           0           0           2           
11          19          292         292         0           0           180         0           0           0           2           
11          20          186         186         0           0           186         0           0           0           4           
12          4           154         154         0           0           96          0           0           0           0           
12          5           189         189         0           0           102         0           0           0           0           
12          6           207         207         0           0           108         0           0           0           0           
12          7           230         230         0           0           114         0           0           0           0           
12          8           258         258         0           0           120         0           0           0           0           
12          9           117         117         0           0           126         0           0           0           2           
12          10          128         128         0           0           132         0           0           0           2           
12          11          147         147         0           0           138         0           0           0           2           
12          12          142         142         0           0           144         0           0           0           2           
12          13          158         158         0           0           150         0           0           0           2           
12          14          164         164         0           0           156         0           0           0           2           
12          15          191         191         0           0           162         0           0           0           2           
12          16          136         136         0           0           168         0           0           0           2           
12          17          195         195         0           0           174         0           0           0           2           
12          18          250         250         0           0           180         0           0           0           2           
12          19          316         316         0           0           186         0           0           0           2           
12          20          182         182         0           0           192         0           0           0           4           
